Region;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
2280 Härnösand;24509;24755;25066;25269;25190;25120;25183;25114;25012;24879;24654
2281 Sundsvall;96978;97338;97633;98325;98810;98850;99449;99439;99383;99361;99213
2282 Kramfors;18450;18435;18359;18681;18610;18423;18282;18133;18005;17904;17631
2283 Sollefteå;19623;19776;19783;19846;19709;19500;19140;18872;18814;18667;18523
2284 Örnsköldsvik;54986;55248;55576;55964;56139;56089;55998;55807;55823;55557;55478
2303 Ragunda;5458;5440;5387;5415;5444;5343;5284;5208;5210;5174;5135
2305 Bräcke;6559;6463;6455;6492;6501;6376;6298;6181;6175;6162;6099
2309 Krokom;14643;14648;14785;14843;14925;14858;14966;15054;15352;15532;15595
2313 Strömsund;11984;11873;11712;11809;11791;11703;11605;11488;11473;11397;11113
2321 Åre;10420;10555;10677;11088;11268;11529;11727;12049;12271;12330;12464
2326 Berg;7160;7067;7032;7081;7122;7097;7061;7120;7135;7176;7140
2361 Härjedalen;10281;10224;10262;10200;10154;10147;10090;10070;10114;10185;10145
2380 Östersund;59956;60495;61066;61745;62601;63227;63779;63985;64324;64714;64881
2401 Nordmaling;7006;7085;7060;7132;7103;7118;7143;7108;7100;7066;7033
2403 Bjurholm;2436;2451;2453;2454;2451;2450;2408;2387;2395;2372;2348
2404 Vindeln;5344;5383;5371;5413;5412;5436;5423;5485;5550;5504;5461
2409 Robertsfors;6738;6724;6771;6784;6784;6762;6747;6748;6786;6759;6740
2417 Norsjö;4175;4180;4176;4125;4086;4094;3986;3945;3971;3947;3924
2418 Malå;3155;3115;3109;3100;3133;3122;3068;3024;3034;3033;2990
2421 Storuman;5954;5955;5943;5899;5902;5912;5852;5826;5808;5747;5621
2422 Sorsele;2595;2565;2516;2535;2516;2522;2489;2442;2460;2436;2387
2425 Dorotea;2757;2757;2740;2719;2646;2568;2551;2498;2459;2413;2339
2460 Vännäs;8583;8616;8593;8695;8776;8785;8872;8997;9054;8963;9059
2462 Vilhelmina;6887;6848;6829;6805;6787;6752;6668;6539;6485;6393;6263
2463 Åsele;2875;2838;2832;2875;2809;2819;2794;2805;2807;2782;2718
2480 Umeå;118349;119613;120777;122892;125080;127119;128901;130224;130997;132235;133091
2481 Lycksele;12270;12208;12177;12187;12257;12228;12245;12324;12264;12243;12213
2482 Skellefteå;71988;72024;72031;72266;72723;72467;72589;72840;73393;74402;76542
2505 Arvidsjaur;6471;6484;6471;6442;6440;6334;6220;6145;6143;6111;6113
2506 Arjeplog;2980;2907;2887;2876;2821;2794;2785;2718;2707;2667;2609
2510 Jokkmokk;5066;5086;5072;5105;5081;5001;4923;4851;4780;4760;4728
2513 Överkalix;3436;3409;3395;3378;3367;3302;3315;3289;3252;3160;3162
2514 Kalix;16387;16307;16248;16223;16169;16058;15886;15812;15768;15729;15547
2518 Övertorneå;4709;4711;4603;4534;4461;4410;4299;4217;4211;4119;4088
2521 Pajala;6299;6303;6193;6116;6101;6039;6052;5966;5973;5883;5871
2523 Gällivare;18339;18231;18123;17956;17825;17630;17529;17462;17449;17420;17330
2560 Älvsbyn;8168;8171;8183;8193;8274;8140;8066;8054;8009;7911;7783
2580 Luleå;75383;75966;76088;76770;77470;77832;78105;78549;78867;79244;79352
2581 Piteå;41278;41508;41548;41904;42184;42116;42281;42226;42323;42362;42344
2582 Boden;27838;27887;27913;28042;28181;28064;28080;28060;28160;28048;27943
2583 Haparanda;9886;9776;9831;9864;9805;9785;9685;9601;9496;9340;9177
2584 Kiruna;23196;23241;23178;23167;23116;22992;22867;22664;22555;22423;22433
